Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota,Palavras/Link,cont_tags,quão_escondido
CLI,2025-01-19,2025-01-19,['Conceito'],13,0,01 - Progetos\zData Analyst\Conceitos\CLI.md,1.2637614678899083,1,3
Coeficiente de correlação linear,2024-12-18,2024-12-18,['Gráfico'],257,1,01 - Progetos\zData Analyst\Conceitos\Coeficiente de correlação linear.md,0.512,1,3
Como fazer Coorte,2025-03-20,,[],0,0,01 - Progetos\zData Analyst\Conceitos\Como fazer Coorte.md,1.3549311926605505,0,3
Coorte,2025-05-30,2025-03-13,[],205,1,01 - Progetos\zData Analyst\Conceitos\Coorte.md,0.6514285714285715,0,3
Data lake,2025-05-21,2025-05-21,[],55,0,01 - Progetos\zData Analyst\Conceitos\Data lake.md,0.8205275229357798,0,3
Data warehouse,2025-05-21,2025-05-21,[],49,0,01 - Progetos\zData Analyst\Conceitos\Data warehouse.md,0.8698394495412844,0,3
Diários de Hipóteses,2025-03-19,2025-03-19,[],82,0,01 - Progetos\zData Analyst\Conceitos\Diários de Hipóteses.md,0.6571100917431193,0,3
Economia unitária,2025-03-13,2025-03-13,[],83,0,01 - Progetos\zData Analyst\Conceitos\Economia unitária.md,0.6519495412844036,0,3
Engenharia de características,2025-02-17,2024-12-27,['Conceito'],44,7,01 - Progetos\zData Analyst\Conceitos\Engenharia de características.md,7.849514563106796,1,3
Erro dos tipo I e II,2025-03-22,2025-03-20,['[]'],85,0,01 - Progetos\zData Analyst\Conceitos\Erro dos tipo I e II.md,0.6416284403669725,1,3
ETL,2025-04-25,2025-04-25,[],13,0,01 - Progetos\zData Analyst\Conceitos\ETL.md,1.2637614678899083,0,3
Ganho de conversão relativo.,2025-03-25,2025-03-25,[],9,0,01 - Progetos\zData Analyst\Conceitos\Ganho de conversão relativo..md,1.2998853211009174,0,3
GUI,2025-01-19,2025-01-19,['Conceito'],10,0,01 - Progetos\zData Analyst\Conceitos\GUI.md,1.290137614678899,1,3
HEART,2025-03-14,,[],0,0,01 - Progetos\zData Analyst\Conceitos\HEART.md,1.3549311926605505,0,3
Hipóteses,2025-03-19,2025-03-19,[],48,0,01 - Progetos\zData Analyst\Conceitos\Hipóteses.md,0.8818807339449541,0,3
Importância do grafico,2024-12-05,2024-12-05,[],40,1,01 - Progetos\zData Analyst\Conceitos\Importância do grafico.md,1.9245714285714286,0,3
JupyterLab,2025-02-04,2025-02-04,['[]'],21,0,01 - Progetos\zData Analyst\Conceitos\JupyterLab.md,1.1680045871559632,1,3
LTV,2025-03-14,2025-03-14,[],90,0,01 - Progetos\zData Analyst\Conceitos\LTV.md,0.6215596330275229,0,3
Métodos Experimentais,2025-03-19,2025-03-19,[],138,0,01 - Progetos\zData Analyst\Conceitos\Métodos Experimentais.md,0.46674311926605505,0,3
Métricas chaves,2025-03-19,2025-03-19,[],309,1,01 - Progetos\zData Analyst\Conceitos\Métricas chaves.md,0.4102857142857143,0,3
Outliers,2024-12-21,2024-12-21,['Estatística'],26,0,01 - Progetos\zData Analyst\Conceitos\Outliers.md,1.1095183486238531,1,3
Paradoxo de Simpson,2025-04-09,2025-04-09,[],127,0,01 - Progetos\zData Analyst\Conceitos\Paradoxo de Simpson.md,0.4988532110091743,0,3
Paramétricos ou não,2025-03-22,2025-03-22,['[]'],90,3,01 - Progetos\zData Analyst\Conceitos\Paramétricos ou não.md,2.587112171837709,1,3
Pipeline de dados,2025-05-21,2025-04-25,[],257,0,01 - Progetos\zData Analyst\Conceitos\Pipeline de dados.md,0.25688073394495414,0,3
pipeline,2025-02-17,2025-02-17,[],202,0,01 - Progetos\zData Analyst\Conceitos\pipeline.md,0.3331422018348624,0,3
ROMI,2025-03-14,,[],0,0,01 - Progetos\zData Analyst\Conceitos\ROMI.md,1.3549311926605505,0,3
Rotatividade,2024-11-11,2024-11-11,['DataAnalyst'],27,1,01 - Progetos\zData Analyst\Conceitos\Rotatividade.md,2.1977142857142855,1,3
RPV,2025-03-19,2025-03-19,[],102,0,01 - Progetos\zData Analyst\Conceitos\RPV.md,0.5676605504587156,0,3
Sessões de Usuário,2025-03-14,2025-03-14,[],175,0,01 - Progetos\zData Analyst\Conceitos\Sessões de Usuário.md,0.3795871559633027,0,3
Significância Estatística,2025-03-24,2025-03-24,[],62,1,01 - Progetos\zData Analyst\Conceitos\Significância Estatística.md,1.5314285714285714,0,3
taxa de cliques (CTR),2025-03-07,2025-03-07,['Economia'],72,0,01 - Progetos\zData Analyst\Conceitos\taxa de cliques (CTR).md,0.7018348623853211,1,3
taxa de conversão (CR),2025-03-07,2025-03-07,['Economia'],75,0,01 - Progetos\zData Analyst\Conceitos\taxa de conversão (CR).md,0.6857798165137615,1,3
Teste AB,2025-04-10,2025-04-10,[],179,0,01 - Progetos\zData Analyst\Conceitos\Teste AB.md,0.37270642201834864,0,3
Teste AlA,2025-03-27,2025-03-20,[],60,0,01 - Progetos\zData Analyst\Conceitos\Teste AlA.md,0.7895642201834863,0,3
Teste de Wilcoxon-Mann-Whitney,2025-03-23,2025-03-23,[],88,0,01 - Progetos\zData Analyst\Conceitos\Teste de Wilcoxon-Mann-Whitney.md,0.6307339449541285,0,3
Teste Shapiro–Wilk,2025-03-22,2025-03-22,['Comando'],248,0,01 - Progetos\zData Analyst\Conceitos\Teste Shapiro–Wilk.md,0.26605504587155965,1,3
Testes,2025-04-10,2025-04-10,[],490,0,01 - Progetos\zData Analyst\Conceitos\Testes.md,0.10722477064220183,0,3
Valor absoluto,2025-03-22,2025-03-22,[],18,0,01 - Progetos\zData Analyst\Conceitos\Valor absoluto.md,1.2069954128440368,0,3
requirements python,2025-01-27,2025-01-27,['Comando'],28,0,01 - Progetos\zData Analyst\Desenvolvimento\requirements python.md,1.0934633027522935,1,3
--help,2025-01-21,2025-01-21,['Comando'],960,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\--help.md,0.11657142857142858,1,4
alias,2025-01-25,2025-01-25,['Comando'],61,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\alias.md,1.5554285714285714,1,4
cat,2025-01-23,2025-01-22,['Comando'],62,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\cat.md,0.768348623853211,1,4
cd,2025-01-21,2025-01-21,['Comando'],22,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\cd.md,2.302857142857143,1,4
cp,2025-01-22,2025-01-22,['Comando'],35,3,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\cp.md,4.20763723150358,1,4
Curinga,2025-01-23,2025-01-23,['Comando'],269,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\Curinga.md,0.24197247706422018,1,4
echo,2025-01-22,2025-01-22,['Comando'],103,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\echo.md,1.1257142857142857,1,4
env com python,2025-01-31,2025-01-27,['Comando'],58,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\env com python.md,0.8073394495412844,1,4
find,2025-01-24,2025-01-22,['Comando'],115,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\find.md,0.5246559633027523,1,4
grep,2025-01-24,2025-01-22,['Comando'],51,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\grep.md,1.697142857142857,1,4
head & tail,2025-01-23,2025-01-22,['Comando'],40,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\head & tail.md,1.9245714285714286,1,4
history,2025-01-25,2025-01-25,['Comando'],20,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\history.md,1.180045871559633,1,4
home,2025-01-22,2025-01-22,['Comando'],19,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\home.md,2.380571428571429,1,4
ls,2025-01-21,2025-01-21,['Comando'],52,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\ls.md,0.8411697247706422,1,4
man,2025-01-21,2025-01-21,[],569,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\man.md,0.08486238532110092,0,4
mkdir,2025-01-22,2025-01-21,['Comando'],84,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\mkdir.md,1.288,1,4
mv,2025-01-22,2025-01-22,['Comando'],70,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\mv.md,0.7173165137614679,1,4
Pipes,2025-01-25,2025-01-25,['Comando'],30,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\Pipes.md,1.0711009174311927,1,4
pwd,2025-01-21,2025-01-21,['Comando'],15,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\pwd.md,1.2454128440366972,1,4
rm,2025-01-21,2025-01-21,['Comando'],99,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\rm.md,0.5745412844036697,1,4
tab 3x,2025-01-21,2025-01-21,['Comando'],77,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\tab 3x.md,1.3497142857142856,1,4
touch,2025-01-22,2025-01-22,['Comando'],22,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\touch.md,2.302857142857143,1,4
vi,2025-01-23,2025-01-22,['Comando'],83,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\vi.md,0.6519495412844036,1,4
wc,2025-01-23,2025-01-22,['Comando'],69,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\wc.md,0.7224770642201835,1,4
conda activate myenv,2025-01-27,2025-01-27,['Comando'],10,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda activate myenv.md,1.290137614678899,1,5
conda create --name myenv,2025-01-27,2025-01-27,['Comando'],12,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda create --name myenv.md,1.2689220183486238,1,5
conda deactivate,2025-01-27,2025-01-27,['Comando'],10,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda deactivate.md,1.290137614678899,1,5
conda env create --name myenv --file requirements.txt,2025-01-27,2025-01-27,['Comando'],11,1,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda env create --name myenv --file requirements.txt.md,2.5462857142857143,1,5
conda install --name myenv scipy,2025-01-27,2025-01-27,['Comando'],15,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda install --name myenv scipy.md,1.2454128440366972,1,5
conda install -c,2025-01-27,2025-01-27,['Comando'],9,0,01 - Progetos\zData Analyst\Desenvolvimento\Comandos\conda\conda install -c.md,1.2998853211009174,1,5
",bashrc",2025-01-25,2025-01-25,['Conceito'],31,0,"01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\,bashrc.md",1.0561926605504588,1,4
Diretório,2025-01-21,2025-01-21,[],28,0,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\Diretório.md,1.0934633027522935,0,4
dummy,2025-01-22,2025-01-22,[],23,1,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\dummy.md,2.278857142857143,0,4
modificador,2025-01-21,2025-01-21,[],33,0,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\modificador.md,1.0384174311926606,0,4
Variável de ambiente,2025-01-25,2025-01-25,['Conceito'],181,1,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\Variável de ambiente.md,0.7325714285714285,1,4
WSL,2025-01-30,,[],0,0,01 - Progetos\zData Analyst\Desenvolvimento\Conceitos\WSL.md,1.3549311926605505,0,4
Amostragem,2025-01-09,2025-01-09,['Conceito'],97,0,01 - Progetos\zData Analyst\Estatística\Amostragem.md,0.5831422018348624,1,3
Análise de dados,2024-12-31,2024-09-04,['DataAnalyst'],93,7,01 - Progetos\zData Analyst\Estatística\Análise de dados.md,5.106796116504855,1,3
Análise de Variância (ANOVA),2025-09-21,2025-09-21,[],468,17,01 - Progetos\zData Analyst\Estatística\Análise de Variância (ANOVA).md,3.072463768115942,0,3
Análise descritiva ou exploratória,2024-12-31,2024-09-04,['DataAnalyst'],92,2,01 - Progetos\zData Analyst\Estatística\Análise descritiva ou exploratória.md,1.8831858407079647,1,3
Análise diagnóstica,2024-12-31,2024-09-04,['DataAnalyst'],31,2,01 - Progetos\zData Analyst\Estatística\Análise diagnóstica.md,3.2601769911504426,1,3
Análise Estatística,2024-09-04,2024-08-25,['DataAnalyst'],45,5,01 - Progetos\zData Analyst\Estatística\Análise Estatística.md,5.5979020979020975,1,3
Análise Explanatória,2024-12-31,2024-09-05,['DataAnalyst'],55,5,01 - Progetos\zData Analyst\Estatística\Análise Explanatória.md,5.003496503496503,1,3
Análise preditiva,2024-12-31,2024-09-04,['DataAnalyst'],119,7,01 - Progetos\zData Analyst\Estatística\Análise preditiva.md,4.344660194174757,1,3
Análise prescritiva,2024-12-31,2024-09-04,['DataAnalyst'],28,2,01 - Progetos\zData Analyst\Estatística\Análise prescritiva.md,3.375221238938053,1,3
Aprendizado de máquina,2024-08-25,2024-08-25,['DataAnalyst'],35,1,01 - Progetos\zData Analyst\Estatística\Aprendizado de máquina.md,2.0148571428571427,1,3
Cauda longa vx Calda pesada,2025-01-03,2025-01-03,['Conceito'],33,3,01 - Progetos\zData Analyst\Estatística\Cauda longa vx Calda pesada.md,4.322195704057279,1,3
Coleta de dados,2024-08-25,2024-08-25,['DataAnalyst'],30,1,01 - Progetos\zData Analyst\Estatística\Coleta de dados.md,2.134857142857143,1,3
Conceitos-chave de dados,2024-10-28,2024-08-25,['DataAnalyst'],22,6,01 - Progetos\zData Analyst\Estatística\Conceitos-chave de dados.md,8.258196721311476,1,3
