Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota,Palavras/Link,cont_tags,quão_escondido
Spacy,2025-07-20,,[],0,0,01 - Progetos\zData Analyst\ML\Modelos\Spacy.md,1.3549311926605505,0,4
Árvore de decisão,2025-06-03,2025-05-24,[],87,0,01 - Progetos\zData Analyst\ML\Modelos\Árvore de decisão.md,0.6353211009174312,0,4
Possibilidades,2025-08-07,,[],32,0,01 - Progetos\zData Analyst\n8n\Possibilidades.md,1.0470183486238531,0,3
Glossário (data science para negocios),2025-02-10,2024-10-28,['DataAnalyst'],363,46,01 - Progetos\zData Analyst\Palavras\Glossário (data science para negocios).md,21.285714285714285,1,3
Palavras,2024-10-22,2024-10-22,[],432,0,01 - Progetos\zData Analyst\Palavras\Palavras.md,0.13646788990825687,0,3
Perceptron e Aprendizado Supervisionado,2024-10-08,2024-10-08,['DataAnalyst'],667,0,01 - Progetos\zData Analyst\PLN\Perceptron e Aprendizado Supervisionado.md,0.07454128440366972,1,3
Problemas básicos,2024-10-04,2024-10-04,[],490,0,01 - Progetos\zData Analyst\PLN\Problemas básicos.md,0.10722477064220183,0,3
Problemas de Morfologia,2024-10-04,2024-10-04,['DataAnalyst'],1102,0,01 - Progetos\zData Analyst\PLN\Problemas de Morfologia.md,0.052752293577981654,1,3
Relação com o ensino de crianças,2025-08-06,,[],436,1,01 - Progetos\zData Analyst\PLN\Relação com o ensino de crianças.md,0.26857142857142857,0,3
REsumo,2024-10-01,2024-10-01,['DataAnalyst'],383,2,01 - Progetos\zData Analyst\PLN\REsumo.md,0.4902654867256637,1,3
Linguagem M,2025-02-04,2025-02-04,['[]'],190,0,01 - Progetos\zData Analyst\Power bi\Linguagem M.md,0.35378440366972475,1,3
Muitos pra um,2025-05-21,2025-05-21,[],5,0,01 - Progetos\zData Analyst\Power bi\Muitos pra um.md,1.3170871559633028,0,3
RELATED,2025-02-05,2025-02-05,['Comando'],30,0,01 - Progetos\zData Analyst\Power bi\RELATED.md,1.0711009174311927,1,3
Tableu,2025-05-12,2025-05-10,[],63,1,01 - Progetos\zData Analyst\Power bi\Tableu.md,1.5154285714285713,0,3
Abstração,2024-08-10,2024-08-10,['Programação'],74,3,01 - Progetos\zData Analyst\Programação\Abstração.md,2.873508353221957,1,3
Atributos Globais no HTML,2025-02-13,2025-02-13,['[]'],207,0,01 - Progetos\zData Analyst\Programação\Atributos Globais no HTML.md,0.32224770642201833,1,3
Atributos,2024-11-14,2024-08-10,['Programação'],58,8,01 - Progetos\zData Analyst\Programação\Atributos.md,8.0,1,3
Classes,2025-02-10,2024-08-10,['Programação'],109,5,01 - Progetos\zData Analyst\Programação\Classes.md,3.3146853146853146,1,3
Construtor,2025-02-10,2024-08-12,['Programação'],134,8,01 - Progetos\zData Analyst\Programação\Construtor.md,4.698863636363637,1,3
Instância,2024-12-31,2024-08-10,['Programação'],64,3,01 - Progetos\zData Analyst\Programação\Instância.md,3.1455847255369926,1,3
Métodos,2025-02-10,2024-08-15,['Python'],24,4,01 - Progetos\zData Analyst\Programação\Métodos.md,5.802941176470588,1,3
Notação do ponto,2025-01-28,2025-01-28,['Conceito'],59,0,01 - Progetos\zData Analyst\Programação\Notação do ponto.md,0.7975917431192661,1,3
Objetos,2024-08-10,2024-08-10,['Programação'],16,1,01 - Progetos\zData Analyst\Programação\Objetos.md,2.4594285714285715,1,3
Private,2025-02-10,2024-08-13,['Programação'],68,7,01 - Progetos\zData Analyst\Programação\Private.md,6.165048543689321,1,3
Programação Orientada a Objetos (POO),2025-02-10,2024-08-10,['Programação'],313,17,01 - Progetos\zData Analyst\Programação\Programação Orientada a Objetos (POO).md,5.130434782608695,1,3
SDK,2025-05-15,2025-05-15,['Programação'],44,0,01 - Progetos\zData Analyst\Programação\SDK.md,0.9271788990825688,1,3
Análise de E-commerce,2024-10-27,,[],469,0,01 - Progetos\zData Analyst\projetos\Análise de E-commerce.md,0.12041284403669725,0,3
Aulas anotadas,2025-01-31,2025-01-31,['[]'],57,0,01 - Progetos\zData Analyst\projetos\Aulas anotadas.md,0.8130733944954128,1,3
poc_wilson_sons.ipynb,2025-08-08,,[],200,0,01 - Progetos\zData Analyst\projetos\poc_wilson_sons.ipynb.md,0.33543577981651373,0,3
possivel freela,2025-02-25,2025-02-25,[],5045,0,01 - Progetos\zData Analyst\projetos\possivel freela.md,0.01834862385321101,0,3
01 vocabulário,2025-09-12,2025-09-12,[],114,0,01 - Progetos\zData Analyst\projetos\STAR\01 vocabulário.md,0.529243119266055,0,4
Sprint 1,2025-09-12,2025-09-12,[],392,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 1.md,0.1559633027522936,0,4
Sprint 2,2025-09-12,,[],459,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 2.md,0.12614678899082568,0,4
Sprint 3,2025-09-12,2025-09-12,[],451,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 3.md,0.12844036697247707,0,4
Sprint 4,2025-09-12,2025-09-12,[],526,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 4.md,0.09747706422018348,0,4
",add_argument()",2025-01-27,2025-01-27,['Comando'],22,0,"01 - Progetos\zData Analyst\Python\argparse\Comandos\,add_argument().md",1.1553899082568808,1,5
",ArgumentParser",2025-01-27,2025-01-27,['Comando'],9,0,"01 - Progetos\zData Analyst\Python\argparse\Comandos\,ArgumentParser.md",1.2998853211009174,1,5
",parse_args()",2025-01-27,2025-01-27,['Comando'],40,0,"01 - Progetos\zData Analyst\Python\argparse\Comandos\,parse_args().md",0.9655963302752294,1,5
Combinação de opções curtas,2025-01-28,2025-01-28,[],23,0,01 - Progetos\zData Analyst\Python\argparse\Comandos\Combinação de opções curtas.md,1.143348623853211,0,5
help=,2025-01-28,2025-01-27,['Comando'],66,0,01 - Progetos\zData Analyst\Python\argparse\Comandos\help=.md,0.7373853211009175,1,5
Aula (10),2024-08-07,2024-08-06,[],107,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (10).md,0.5527522935779816,0,5
Aula (100),2024-08-08,2024-08-06,[],275,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (100).md,0.23394495412844038,0,5
Aula (101),2024-08-08,2024-08-06,[],212,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (101).md,0.3165137614678899,0,5
Aula (102),2024-08-08,2024-08-06,[],208,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (102).md,0.3211009174311927,0,5
Aula (103),2024-08-08,2024-08-06,[],191,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (103).md,0.3514908256880734,0,5
Aula (104),2024-08-08,2024-08-06,[],179,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (104).md,0.7428571428571429,0,5
Aula (105),2024-08-08,2024-08-06,[],292,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (105).md,0.21788990825688073,0,5
Aula (106),2024-08-08,2024-08-06,[],233,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (106).md,0.5725714285714286,0,5
Aula (11),2024-08-07,2024-08-06,[],46,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (11).md,1.8057142857142856,0,5
Aula (12),2024-08-07,2024-08-06,[],81,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (12).md,0.6599770642201835,0,5
Aula (13),2024-08-07,2024-08-06,[],68,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (13).md,0.7282110091743119,0,5
Aula (14),2024-08-07,2024-08-06,[],61,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (14).md,0.7803899082568807,0,5
Aula (15),2024-08-07,2024-08-06,[],183,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (15).md,0.36295871559633025,0,5
Aula (16),2024-08-07,2024-08-06,[],108,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (16).md,0.5481651376146789,0,5
Aula (17),2024-08-07,2024-08-06,[],92,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (17).md,0.6100917431192661,0,5
Aula (18),2024-08-07,2024-08-06,[],132,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (18).md,0.4822247706422018,0,5
Aula (19),2024-08-07,2024-08-06,[],128,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (19).md,0.4959862385321101,0,5
Aula (20),2024-08-07,2024-08-06,[],119,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (20).md,0.5131880733944955,0,5
Aula (21),2024-08-07,2024-08-06,[],172,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (21).md,0.3830275229357798,0,5
Aula (22),2024-08-07,2024-08-06,[],163,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (22).md,0.4088302752293578,0,5
Aula (23),2024-08-07,2024-08-06,[],125,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (23).md,0.5040137614678899,0,5
Aula (24),2024-08-07,2024-08-06,[],99,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (24).md,0.5745412844036697,0,5
Aula (25),2024-08-07,2024-08-06,[],205,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (25).md,0.3268348623853211,0,5
Aula (26),2024-08-07,2024-08-06,[],195,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (26).md,0.3463302752293578,0,5
Aula (27),2024-08-07,2024-08-06,[],192,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (27).md,0.349197247706422,0,5
Aula (28),2024-08-06,2024-08-06,[],7,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (28).md,1.3061926605504588,0,5
Aula (29),2024-08-07,2024-08-06,[],203,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (29).md,0.33142201834862384,0,5
Aula (30),2024-12-31,2024-08-06,['Programação'],108,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (30).md,0.5481651376146789,1,5
Aula (31),2024-08-07,2024-08-06,[],153,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (31).md,0.4334862385321101,0,5
Aula (32),2024-08-07,2024-08-06,[],176,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (32).md,0.37729357798165136,0,5
Aula (33),2024-08-07,2024-08-06,[],238,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (33).md,0.2786697247706422,0,5
Aula (34),2024-08-07,2024-08-06,[],200,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (34).md,0.33543577981651373,0,5
Aula (35),2024-08-07,2024-08-06,[],171,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (35).md,0.38589449541284404,0,5
Aula (36),2024-08-07,2024-08-06,[],306,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (36).md,0.2098623853211009,0,5
Aula (37),2024-08-07,2024-08-06,[],288,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (37).md,0.22305045871559634,0,5
Aula (38),2024-08-07,2024-08-06,[],177,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (38).md,0.3761467889908257,0,5
Aula (39),2024-08-07,2024-08-06,[],152,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (39).md,0.4375,0,5
Aula (40),2024-08-07,2024-08-06,[],230,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (40).md,0.29128440366972475,0,5
Aula (41),2024-08-07,2024-08-06,[],123,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (41).md,0.5068807339449541,0,5
Aula (42),2024-08-06,2024-08-06,[],7,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (42).md,1.3061926605504588,0,5
Aula (43),2024-08-07,2024-08-06,[],213,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (43).md,0.3130733944954128,0,5
Aula (44),2024-08-07,2024-08-06,[],256,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (44).md,0.2591743119266055,0,5
Aula (45),2024-08-07,2024-08-06,[],229,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (45).md,0.29357798165137616,0,5
Aula (46),2024-08-07,2024-08-06,[],143,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (46).md,0.45642201834862384,0,5
Aula (47),2024-08-07,2024-08-06,[],156,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (47).md,0.4243119266055046,0,5
Aula (48),2024-08-07,2024-08-06,[],181,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (48).md,0.36754587155963303,0,5
Aula (49),2024-08-07,2024-08-06,[],139,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (49).md,0.4644495412844037,0,5
Aula (5),2024-08-06,2024-08-06,[],170,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (5).md,0.39105504587155965,0,5
Aula (50),2024-08-07,2024-08-06,[],138,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (50).md,0.46674311926605505,0,5
Aula (51),2024-08-07,2024-08-06,[],191,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (51).md,0.3514908256880734,0,5
Aula (52),2024-08-07,2024-08-06,[],157,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (52).md,0.42144495412844035,0,5
Aula (53),2024-08-07,2024-08-06,[],110,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (53).md,0.5401376146788991,0,5
Aula (54),2024-08-07,2024-08-06,[],241,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (54).md,0.2763761467889908,0,5
Aula (55),2024-08-07,2024-08-06,[],205,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (55).md,0.3268348623853211,0,5
Aula (56),2024-08-07,2024-08-06,[],403,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (56).md,0.15252293577981652,0,5
Aula (57),2024-08-07,2024-08-06,[],76,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (57).md,0.6817660550458715,0,5
Aula (58),2024-08-07,2024-08-06,[],317,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (58).md,0.19954128440366972,0,5
Aula (59),2024-08-07,2024-08-06,[],482,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (59).md,0.11238532110091744,0,5
Aula (6),2024-08-07,2024-08-06,[],159,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (6).md,0.4180045871559633,0,5
Aula (60),2024-08-07,2024-08-06,[],213,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (60).md,0.3130733944954128,0,5
Aula (61),2024-08-07,2024-08-06,[],151,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (61).md,0.4415137614678899,0,5
Aula (62),2024-08-07,2024-08-06,[],260,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (62).md,0.2505733944954128,0,5
Aula (63),2024-08-07,2024-08-06,[],380,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (63).md,0.16341743119266056,0,5
Aula (64),2024-08-07,2024-08-06,[],169,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (64).md,0.39506880733944955,0,5
Aula (65),2024-08-07,2024-08-06,[],380,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (65).md,0.16341743119266056,0,5
Aula (66),2024-08-07,2024-08-06,[],154,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (66).md,0.4294724770642202,0,5
Aula (67),2024-08-07,2024-08-06,[],260,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (67).md,0.2505733944954128,0,5
Aula (68),2024-08-07,2024-08-06,[],333,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (68).md,0.18807339449541285,0,5
Aula (69),2024-08-07,2024-08-06,[],396,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (69).md,0.15481651376146788,0,5
Aula (7),2024-08-07,2024-08-06,[],115,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (7).md,0.5246559633027523,0,5
Aula (70),2024-08-08,2024-08-06,[],327,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (70).md,0.18922018348623854,0,5
Aula (71),2024-08-08,2024-08-06,[],253,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (71).md,0.26146788990825687,0,5
Aula (72),2024-08-08,2024-08-06,[],235,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (72).md,0.28440366972477066,0,5
Aula (73),2024-08-08,2024-08-06,[],225,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (73).md,0.2981651376146789,0,5
Aula (74),2024-08-08,2024-08-06,[],161,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (74).md,0.4139908256880734,0,5
Aula (75),2024-08-08,2024-08-06,[],226,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (75).md,0.29701834862385323,0,5
Aula (76),2024-08-08,2024-08-06,[],242,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (76).md,0.27408256880733944,0,5
Aula (77),2024-08-08,2024-08-06,[],224,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (77).md,0.2998853211009174,0,5
Aula (78),2024-08-08,2024-08-06,[],340,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (78).md,0.18291284403669725,0,5
Aula (79),2024-08-08,2024-08-06,[],400,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (79).md,0.1536697247706422,0,5
Aula (8),2024-08-07,2024-08-06,[],259,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (8).md,0.25344036697247707,0,5
Aula (80),2024-08-08,2024-08-06,[],300,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (80).md,0.21100917431192662,0,5
Aula (81),2024-08-08,2024-08-06,[],213,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (81).md,0.3130733944954128,0,5
Aula (82),2024-08-08,2024-08-06,[],259,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (82).md,0.25344036697247707,0,5
Aula (83),2024-08-08,2024-08-06,[],152,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (83).md,0.4375,0,5
Aula (84),2024-08-08,2024-08-06,[],406,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (84).md,0.15080275229357798,0,5
Aula (85),2024-08-08,2024-08-06,[],218,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (85).md,0.6125714285714285,0,5
Aula (86),2024-08-08,2024-08-06,[],252,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (86).md,0.5245714285714286,0,5
Aula (87),2024-08-08,2024-08-06,[],423,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (87).md,0.14162844036697247,0,5
Aula (88),2024-08-08,2024-08-06,[],483,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (88).md,0.11123853211009174,0,5
Aula (89),2024-08-08,2024-08-06,[],354,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (89).md,0.17545871559633028,0,5
Aula (9),2024-08-07,2024-08-06,[],95,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (9).md,0.5911697247706422,0,5
Aula (90),2024-08-08,2024-08-06,[],159,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (90).md,0.4180045871559633,0,5
Aula (91),2024-08-08,2024-08-06,[],293,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (91).md,0.2161697247706422,0,5
Aula (92),2024-08-08,2024-08-06,[],198,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (92).md,0.3388761467889908,0,5
Aula (93),2024-08-08,2024-08-06,[],418,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (93).md,0.14678899082568808,0,5
Aula (94),2024-08-08,2024-08-06,[],345,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (94).md,0.17889908256880735,0,5
Aula (95),2024-08-08,2024-08-06,[],476,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (95).md,0.11467889908256881,0,5
Aula (96),2024-08-08,2024-08-06,[],153,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (96).md,0.4334862385321101,0,5
Aula (97),2024-08-08,2024-08-06,[],99,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (97).md,0.5745412844036697,0,5
Aula (98),2024-08-08,2024-08-06,[],382,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (98).md,0.16055045871559634,0,5
Aula (99),2024-08-08,2024-08-06,[],297,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (99).md,0.21272935779816513,0,5
Python Code for Finding the Successor of an Integer,2024-08-09,2024-08-06,[],170,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Python Code for Finding the Successor of an Integer.md,0.39105504587155965,0,5
Dash,2025-05-21,2025-05-21,['Comando'],170,0,01 - Progetos\zData Analyst\Python\Biblioteca\Dash\Dash.md,0.39105504587155965,1,5
ipython,2025-02-13,2025-02-13,['Comando'],94,0,01 - Progetos\zData Analyst\Python\Biblioteca\ipython\ipython.md,0.5974770642201835,1,5
",dump",2025-01-31,2025-01-31,['Comando'],31,0,"01 - Progetos\zData Analyst\Python\Biblioteca\json\Comando\,dump.md",1.0561926605504588,1,6
",loads",2025-01-31,2025-01-31,['Comando'],42,0,"01 - Progetos\zData Analyst\Python\Biblioteca\json\Comando\,loads.md",0.9466743119266054,1,6
",'hist'",2024-12-20,2024-12-20,[],69,3,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,'hist'.md",3.007159904534606,0,6
",bar",2024-12-29,2024-12-29,['Comando'],117,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,bar.md",0.518348623853211,1,6
",legend",2024-12-18,2024-12-18,['Comando'],43,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,legend.md",1.8674285714285714,1,6
",plot",2024-12-17,2024-12-14,['Gráfico'],97,8,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,plot.md",5.778409090909091,1,6
",scatter_matrix",2024-12-20,2024-12-20,['Comando'],93,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,scatter_matrix.md",1.2022857142857142,1,6
",show",2024-12-14,2024-12-14,['Gráfico'],17,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,show.md",1.2196100917431192,1,6
",title=",2024-12-17,2024-12-14,['Gráfico'],24,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,title=.md",2.254857142857143,1,6
",xlabel= or ,ylabel=",2024-12-17,2024-12-14,['Gráfico'],38,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,xlabel= or ,ylabel=.md",1.9588571428571429,1,6
",xlim= e ,ylim=",2024-12-17,2024-12-14,['Gráfico'],61,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\,xlim= e ,ylim=.md",1.5554285714285714,1,6
alpha=,2024-12-17,2024-12-17,['Comando'],30,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\alpha=.md,2.134857142857143,1,6
bind=,2024-12-20,2024-12-20,['Comando'],6,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\bind=.md,1.3107798165137614,1,6
figsize=,2024-12-17,2024-12-14,['Gráfico'],64,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\figsize=.md,1.5062857142857142,1,6
grid=,2024-12-14,2024-12-14,['Gráfico'],15,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\grid=.md,1.2454128440366972,1,6
kind=,2024-12-17,2024-12-17,['Gráfico'],144,9,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\kind=.md,5.142857142857143,1,6
legend=,2024-12-17,2024-12-14,['Gráfico'],78,2,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\legend=.md,2.0743362831858407,1,6
Marcador,2024-12-18,2024-12-14,['Gráfico'],549,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\Marcador.md,0.18628571428571428,1,6
rot=,2024-12-18,2024-12-18,[],36,1,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\rot=.md,1.9908571428571429,0,6
savefig(),2024-12-14,2024-12-14,['Gráfico'],9,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\savefig().md,1.2998853211009174,1,6
x= e y=,2024-12-17,2024-12-14,['Gráfico'],51,0,01 - Progetos\zData Analyst\Python\Biblioteca\Matplotlib\Comandos\x= e y=.md,0.8514908256880734,1,6
array.shape,2024-08-19,2024-08-19,[],43,0,01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\array.shape.md,0.9369266055045872,0,5
",array_equal",2024-12-21,2024-12-21,['Comando'],68,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,array_equal.md",0.7282110091743119,1,6
",cov",2025-01-03,2025-01-03,[],17,2,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,cov.md",3.7646017699115046,0,6
",logical_operador",2025-03-23,2025-03-23,['Comando'],35,0,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,logical_operador.md",1.010894495412844,1,6
",sqrt",2025-01-25,2025-01-03,['Conceito'],25,2,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,sqrt.md",3.454867256637168,1,6
",std",2025-01-03,2025-01-03,['Comando'],14,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,std.md",2.5028571428571427,1,6
",var",2025-01-03,2025-01-03,['Comando'],16,1,"01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\,var.md",2.4594285714285715,1,6
Comandos,2024-08-21,2024-08-19,['Programação'],236,0,01 - Progetos\zData Analyst\Python\Biblioteca\Numpy\Comandos\Comandos.md,0.2826834862385321,1,6
",getcwd",2025-02-03,2025-02-03,[],36,0,"01 - Progetos\zData Analyst\Python\Biblioteca\OS\,getcwd.md",0.9988532110091743,0,5
01,2024-12-09,2024-12-08,[],406,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\01.md,0.15080275229357798,0,5
Agrupamento,2024-11-24,2024-11-24,['Conceito'],11,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Agrupamento.md,2.5462857142857143,1,5
DataFrame X Series,2024-12-10,2024-12-10,['Conceito'],34,1,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\DataFrame X Series.md,2.0434285714285716,1,5
DataFrame,2024-11-20,2024-08-21,['Projetos'],287,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\DataFrame.md,0.22477064220183487,1,5
Deixando o groupby apresentavel,2025-03-23,2025-03-23,['Comando'],11,0,01 - Progetos\zData Analyst\Python\Biblioteca\Pandas\Deixando o groupby apresentavel.md,1.2775229357798166,1,5
